"","X","AreaStr","val_th","Ass","Bur","Mur","Rob","The","Mvt","Const","AreaSqM","type","prop_sqm","PAI_val_th","PAI_Ass","PAI_Bur","PAI_Mur","PAI_Rob","PAI_The","PAI_Mvt","LenMile","prop_len","PAI_valth_len"
"23",23,"23",156.861,14,3,0,9,13,5,44,0.0285711608041141,"DBSCAN",8.36347187832883e-05,11.074973030994,16.9702551146334,2.88926868046851,0,21.8188994331001,4.99254318627241,5.96109127995755,1.57221561596441,0.000285948022028851,3.23923295012767
"24",24,"24",336.724,17,18,1,5,23,20,84,0.029988966255157,"DBSCAN",8.77849792854905e-05,22.649997571332,19.63250183872,16.516026469254,63.6394998807538,11.5485304933647,8.41536008894017,22.7170614790207,0.952101891759924,0.000173164322981028,11.4823280765151
"25",25,"25",632.355,39,1,2,18,11,10,81,0.0748549413048496,"DBSCAN",0.000219118572342681,17.0410388351207,18.0439806962341,0.367598801259133,50.9914985210295,16.6559821811392,1.6124214779326,4.5505425442538,1.79360681677071,0.000326213730702861,11.446508069242
"26",26,"26",235.524,11,10,0,9,97,17,144,0.0364426994094432,"DBSCAN",0.000106676621846383,13.0370764764175,10.4537080557118,7.55064447417286,0,17.1060677275285,29.2056958991618,15.8899318924773,0.9011352136784,0.000163894716039837,8.48563828573414
"27",27,"27",341.73,26,15,0,13,58,26,138,0.075658952527479,"DBSCAN",0.000221472108237293,9.1112584438196,11.9014874935599,5.4553861319964,0,11.9014874935599,8.41151129968661,11.7056807893583,1.73608407743813,0.000315751734672029,6.39074752302959
"28",28,"28",58.874,5,3,0,3,4,4,19,0.0177351351226673,"DBSCAN",5.19150428901828e-05,6.69644992074748,9.76390901075016,4.65458873050534,0,11.7166908129002,2.47475296414311,7.68261629131835,0.52617108634844,9.56978036996637e-05,3.63275301425532
"29",29,"29",199.868,20,9,0,6,6,5,46,0.0482156862583189,"DBSCAN",0.000141139010375004,8.36200643943067,14.3658015943893,5.13628031551954,0,8.61948095663356,1.36542943656828,3.53236282099551,1.44695355203885,0.000263165880030603,4.48464410915811
"30",30,"30",434.318,48,2,0,5,20,3,78,0.0467052705881706,"DBSCAN",0.000136717657295064,18.7584746069235,35.5929156843262,1.17830755910254,0,7.41519076756795,4.69862155401106,2.18795817323632,1.78658285481053,0.000324936241782815,7.89267053935369
"31",31,"31",29.153,3,0,0,1,2,0,6,0.0177351351226673,"DBSCAN",5.19150428901828e-05,3.31592221591112,5.8583454064501,0,0,3.90556360430007,1.23737648207156,0,1.01878280542701,0.000185291969581513,0.929053992185053
"32",32,"32",128.027,10,16,0,3,16,4,49,0.023512092436949,"DBSCAN",6.88255983875792e-05,10.9841352538746,14.7298030658435,18.7250619336583,0,8.83788183950607,7.46680940150215,5.79498563930521,0.197136532575924,3.58543707283642e-05,21.0850076646294
"33",33,"33",174.656,8,4,0,5,76,19,112,0.0341616483051398,"DBSCAN",9.99994319013652e-05,10.3133623332402,8.11034615586879,3.2219272847962,0,10.137932694836,24.4107508696008,18.9451669551838,0.758410004476945,0.000137936449978616,7.476851655069
"34",34,"34",149.307,14,11,0,4,8,4,41,0.02970066802749,"DBSCAN",8.69410604345217e-05,10.140737369131,16.3248815588343,10.1910991810584,0,9.32850374790533,2.95549434603129,4.58751425712126,0.946829534433536,0.000172205408609741,5.11973733913465
"35",35,"35",797.047,76,21,0,12,96,22,227,0.0858158498790398,"DBSCAN",0.000251203810758326,18.7357898750687,30.6714498231094,6.73358501193184,0,9.68572099677138,12.2746774474405,8.73250466176157,2.67648076443476,0.000486787163806997,9.66850024839718
"36",36,"36",155.178,13,11,0,3,18,12,57,0.0294692393030222,"DBSCAN",8.62636124154531e-05,10.6222570854247,15.2778642845607,10.2711322304407,0,7.05132197748956,6.70208517883571,13.8706231899406,0.826977563574422,0.000150407231784993,6.09222214463895
"37",37,"37",757.931,42,45,2,26,35,18,168,0.0612555575897628,"DBSCAN",0.000179309877119015,24.9597227215649,23.7460847723014,20.2144335936351,62.3121522197341,29.3999144799922,6.26944230835476,10.0094602877647,0.966797968966681,0.000175837184238851,25.452664255867
"38",38,"38",178.397,7,29,0,21,30,11,98,0.0203875485049654,"DBSCAN",5.96793003120792e-05,17.6513579886263,11.8910787054398,39.1406065262447,0,71.3464722326389,16.1459131060841,18.3785536779773,0.528001146908502,9.60306474852292e-05,10.9696302368604
"39",39,"39",338.284,5,0,0,2,275,14,296,0.043345068280948,"DBSCAN",0.000126881529986612,15.7433572008652,3.99501609984072,0,0,3.19601287987258,69.6144451238385,11.0020090402553,2.7527121630224,0.000500651812791072,3.98988118635878
"40",40,"40",192.565,12,20,0,14,29,11,86,0.0225051681011589,"DBSCAN",6.58780865858284e-05,17.2603928544285,18.4666112088804,24.4535713470796,0,43.0887594873875,14.1391108754831,16.6492270964898,0.457833899388986,8.32689210173829e-05,13.6555348751557
"41",41,"41",309.358,24,27,0,17,29,14,111,0.0444474050625083,"DBSCAN",0.000130108337163344,14.0401104360073,18.7004928152782,16.7152129497497,0,26.4923648216441,7.15909211361537,10.7291490337133,0.498214864202661,9.06132425588046e-05,20.1596959874064
"42",42,"42",121.433,6,1,0,9,47,3,66,0.0335039032325626,"DBSCAN",9.80740525108235e-05,7.31133868343508,6.20217570815273,0.821294954829085,0,18.6065271244582,15.3924877181713,3.05006786245979,0.9919727915279,0.000180415876018281,3.97444299131951
"43",43,"43",479.076,46,10,0,10,50,16,132,0.0501118833678757,"DBSCAN",0.00014668963931524,19.2849835620907,31.7910833266991,5.49103023927156,0,13.8222101420431,10.9480215231831,10.8758425239695,1.26096798155149,0.000229339599801127,12.33501447363
"44",44,"44",195.97,17,10,0,5,23,11,66,0.0492612625663293,"DBSCAN",0.000144199665876068,8.02490015173483,11.9517528474413,5.58584682131015,0,7.03044285143608,5.12305078239547,7.60625357615136,1.07329233103895,0.000195205934862226,5.92803657012633
"45",45,"45",291.215,24,23,0,8,34,16,105,0.0463926620796189,"DBSCAN",0.000135802576354487,12.6625166896986,17.9163760338373,13.6418447561711,0,11.9442506892249,8.0414800121039,11.7477404325969,1.01015891584876,0.000183723492496019,9.35973057245261
"46",46,"46",296.528,27,16,0,8,26,12,89,0.0321135259181012,"DBSCAN",9.40040808182176e-05,18.6265876395576,29.1181643769852,13.7096558065462,0,17.2552085196949,8.88365572564368,12.7284906400143,0.310045402532256,5.63897653050943e-05,31.0512952193189
"47",47,"47",326.686,9,27,1,28,19,18,102,0.0210880405872981,"DBSCAN",6.17298105702195e-05,31.2499896648577,14.7806829584581,35.2307668229312,90.5007180026258,91.968693963739,9.88607123809759,29.0750138004248,0.18058967274181,3.28448968417618e-05,58.7322880515253
"48",48,"48",218.399,17,9,0,11,33,11,81,0.0321179791679114,"DBSCAN",9.40171165607309e-05,13.7169645704329,18.3311170378335,7.71061214446804,0,23.722622048961,11.2738458224586,11.6661653151337,0.789670670431096,0.000143622009583881,8.97933026152656
"49",49,"49",243.434,17,34,0,4,40,16,111,0.0466356701150788,"DBSCAN",0.000136513919825868,10.5297630196929,12.6246376152171,20.0611237110756,0,5.94100593657277,9.41126783554215,11.6865255874671,0.434411589918176,7.90089690130151e-05,18.193620833338
"50",50,"50",654.127,30,42,2,19,42,28,163,0.0625414532278255,"DBSCAN",0.000183074005598476,21.0984082066784,16.6127491473805,18.478890102752,61.0309711693711,21.042815586682,7.36864587350376,15.2501359807004,1.20736387347299,0.000219590308086921,17.5898933600451
"51",51,"51",56.834,3,7,0,2,15,5,32,0.0216295514095637,"DBSCAN",6.33149441127031e-05,5.30049335054183,4.80354610279665,8.90522892484637,0,6.4047281370622,7.60939467430882,7.87419462857483,0.310910766626117,5.65471541189833e-05,5.93487763421584
"52",52,"52",206.842,5,12,1,1,21,4,44,0.0327161271657115,"DBSCAN",9.57680408556791e-05,12.7535892078696,5.29293228241787,10.0928523303301,58.3346190321451,2.11717291296715,7.04309863627653,4.16468114737421,0.5350859243441,9.73191972704196e-05,12.5503116196278
