id,date,deaths,highlight
AFG,2020-08-21,1385,FALSE
AFG,2020-08-22,1385,FALSE
AFG,2020-08-23,1387,FALSE
AFG,2020-08-24,1389,FALSE
AFG,2020-08-25,1397,FALSE
AFG,2020-08-26,1401,FALSE
AFG,2020-08-27,1401,FALSE
AFG,2020-08-28,1402,FALSE
AFG,2020-08-29,1402,FALSE
AFG,2020-08-30,1402,FALSE
AFG,2020-08-31,1402,FALSE
AFG,2020-09-01,1406,FALSE
AFG,2020-09-02,1409,FALSE
AFG,2020-09-03,1409,FALSE
AFG,2020-09-04,1409,FALSE
AFG,2020-09-05,1409,FALSE
AFG,2020-09-06,1412,FALSE
AFG,2020-09-07,1415,FALSE
AFG,2020-09-08,1418,FALSE
AFG,2020-09-09,1420,FALSE
AFG,2020-09-10,1420,FALSE
AFG,2020-09-11,1420,FALSE
AFG,2020-09-12,1420,FALSE
AFG,2020-09-13,1420,FALSE
AFG,2020-09-14,1425,FALSE
AFG,2020-09-15,1426,FALSE
AFG,2020-09-16,1436,FALSE
AFG,2020-09-17,1436,FALSE
AFG,2020-09-18,1437,FALSE
AFG,2020-09-19,1437,FALSE
AFG,2020-09-20,1441,FALSE
AFG,2020-09-21,1444,FALSE
AFG,2020-09-22,1445,FALSE
AFG,2020-09-23,1446,FALSE
AFG,2020-09-24,1451,FALSE
AFG,2020-09-25,1451,FALSE
AFG,2020-09-26,1453,FALSE
AFG,2020-09-27,1453,FALSE
AFG,2020-09-28,1455,FALSE
AFG,2020-09-29,1458,FALSE
AFG,2020-09-30,1458,FALSE
AFG,2020-10-01,1458,FALSE
AFG,2020-10-02,1458,FALSE
AFG,2020-10-03,1462,FALSE
AFG,2020-10-04,1462,FALSE
AFG,2020-10-05,1466,FALSE
AFG,2020-10-06,1467,FALSE
AFG,2020-10-07,1469,FALSE
AFG,2020-10-08,1470,FALSE
AFG,2020-10-09,1472,FALSE
AFG,2020-10-10,1473,FALSE
AFG,2020-10-11,1477,FALSE
AFG,2020-10-12,1479,FALSE
AFG,2020-10-13,1480,FALSE
AFG,2020-10-14,1481,FALSE
AFG,2020-10-15,1481,FALSE
AFG,2020-10-16,1485,FALSE
AFG,2020-10-17,1488,FALSE
AFG,2020-10-18,1492,FALSE
AFG,2020-10-19,1497,FALSE
AFG,2020-10-20,1499,FALSE
AFG,2020-10-21,1501,FALSE
AFG,2020-10-22,1505,FALSE
AFG,2020-10-23,1507,FALSE
AFG,2020-10-24,1511,FALSE
AFG,2020-10-25,1514,FALSE
AFG,2020-10-26,1518,FALSE
AFG,2020-10-27,1523,FALSE
AGO,2020-01-22,NA,FALSE
AGO,2020-01-23,NA,FALSE
AGO,2020-01-24,NA,FALSE
AGO,2020-01-25,NA,FALSE
AGO,2020-01-26,NA,FALSE
AGO,2020-01-27,NA,FALSE
AGO,2020-01-28,NA,FALSE
AGO,2020-01-29,NA,FALSE
AGO,2020-01-30,NA,FALSE
AGO,2020-01-31,NA,FALSE
AGO,2020-02-01,NA,FALSE
AGO,2020-02-02,NA,FALSE
AGO,2020-02-03,NA,FALSE
AGO,2020-02-04,NA,FALSE
AGO,2020-02-05,NA,FALSE
AGO,2020-02-06,NA,FALSE
AGO,2020-02-07,NA,FALSE
AGO,2020-02-08,NA,FALSE
AGO,2020-02-09,NA,FALSE
AGO,2020-02-10,NA,FALSE
AGO,2020-02-11,NA,FALSE
AGO,2020-02-12,NA,FALSE
AGO,2020-02-13,NA,FALSE
AGO,2020-02-14,NA,FALSE
AGO,2020-02-15,NA,FALSE
AGO,2020-02-16,NA,FALSE
AGO,2020-02-17,NA,FALSE
AGO,2020-02-18,NA,FALSE
AGO,2020-02-19,NA,FALSE
AGO,2020-02-20,NA,FALSE
AGO,2020-02-21,NA,FALSE
AGO,2020-02-22,NA,FALSE
AGO,2020-02-23,NA,FALSE
AGO,2020-02-24,NA,FALSE
AGO,2020-02-25,NA,FALSE
AGO,2020-02-26,NA,FALSE
AGO,2020-02-27,NA,FALSE
AGO,2020-02-28,NA,FALSE
AGO,2020-02-29,NA,FALSE
AGO,2020-03-01,NA,FALSE
AGO,2020-03-02,NA,FALSE
AGO,2020-03-03,NA,FALSE
AGO,2020-03-04,NA,FALSE
AGO,2020-03-05,NA,FALSE
AGO,2020-03-06,NA,FALSE
AGO,2020-03-07,NA,FALSE
AGO,2020-03-08,NA,FALSE
AGO,2020-03-09,NA,FALSE
AGO,2020-03-10,NA,FALSE
AGO,2020-03-11,NA,FALSE
AGO,2020-03-12,NA,FALSE
AGO,2020-03-13,NA,FALSE
AGO,2020-03-14,NA,FALSE
AGO,2020-03-15,NA,FALSE
AGO,2020-03-16,NA,FALSE
AGO,2020-03-17,NA,FALSE
AGO,2020-03-18,NA,FALSE
AGO,2020-03-19,NA,FALSE
AGO,2020-03-20,NA,FALSE
AGO,2020-03-21,NA,FALSE
AGO,2020-03-22,NA,FALSE
AGO,2020-03-23,NA,FALSE
AGO,2020-03-24,NA,FALSE
AGO,2020-03-25,NA,FALSE
AGO,2020-03-26,NA,FALSE
AGO,2020-03-27,NA,FALSE
AGO,2020-03-28,NA,FALSE
AGO,2020-03-29,2,FALSE
AGO,2020-03-30,2,FALSE
AGO,2020-03-31,2,FALSE
AGO,2020-04-01,2,FALSE
AGO,2020-04-02,2,FALSE
AGO,2020-04-03,2,FALSE
AGO,2020-04-04,2,FALSE
AGO,2020-04-05,2,FALSE
AGO,2020-04-06,2,FALSE
AGO,2020-04-07,2,FALSE
AGO,2020-04-08,2,FALSE
AGO,2020-04-09,2,FALSE
AGO,2020-04-10,2,FALSE
AGO,2020-04-11,2,FALSE
AGO,2020-04-12,2,FALSE
AGO,2020-04-13,2,FALSE
AGO,2020-04-14,2,FALSE
AGO,2020-04-15,2,FALSE
AGO,2020-04-16,2,FALSE
AGO,2020-04-17,2,FALSE
AGO,2020-04-18,2,FALSE
AGO,2020-04-19,2,FALSE
AGO,2020-04-20,2,FALSE
AGO,2020-04-21,2,FALSE
AGO,2020-04-22,2,FALSE
AGO,2020-04-23,2,FALSE
AGO,2020-04-24,2,FALSE
AGO,2020-04-25,2,FALSE
AGO,2020-04-26,2,FALSE
AGO,2020-04-27,2,FALSE
AGO,2020-04-28,2,FALSE
AGO,2020-04-29,2,FALSE
AGO,2020-04-30,2,FALSE
AGO,2020-05-01,2,FALSE
AGO,2020-05-02,2,FALSE
AGO,2020-05-03,2,FALSE
AGO,2020-05-04,2,FALSE
AGO,2020-05-05,2,FALSE
AGO,2020-05-06,2,FALSE
AGO,2020-05-07,2,FALSE
AGO,2020-05-08,2,FALSE
AGO,2020-05-09,2,FALSE
AGO,2020-05-10,2,FALSE
AGO,2020-05-11,2,FALSE
AGO,2020-05-12,2,FALSE
AGO,2020-05-13,2,FALSE
AGO,2020-05-14,2,FALSE
AGO,2020-05-15,2,FALSE
AGO,2020-05-16,2,FALSE
AGO,2020-05-17,2,FALSE
AGO,2020-05-18,3,FALSE
AGO,2020-05-19,3,FALSE
AGO,2020-05-20,3,FALSE
AGO,2020-05-21,3,FALSE
AGO,2020-05-22,3,FALSE
AGO,2020-05-23,4,FALSE
AGO,2020-05-24,4,FALSE
AGO,2020-05-25,4,FALSE
AGO,2020-05-26,4,FALSE
AGO,2020-05-27,4,FALSE
AGO,2020-05-28,4,FALSE
AGO,2020-05-29,4,FALSE
AGO,2020-05-30,4,FALSE
AGO,2020-05-31,4,FALSE
AGO,2020-06-01,4,FALSE
AGO,2020-06-02,4,FALSE
AGO,2020-06-03,4,FALSE
AGO,2020-06-04,4,FALSE
AGO,2020-06-05,4,FALSE
AGO,2020-06-06,4,FALSE
AGO,2020-06-07,4,FALSE
AGO,2020-06-08,4,FALSE
AGO,2020-06-09,4,FALSE
AGO,2020-06-10,4,FALSE
AGO,2020-06-11,5,FALSE
AGO,2020-06-12,5,FALSE
AGO,2020-06-13,6,FALSE
AGO,2020-06-14,6,FALSE
AGO,2020-06-15,6,FALSE
AGO,2020-06-16,6,FALSE
AGO,2020-06-17,7,FALSE
